---,DisplayName,Mult,Hit,Crit,RangeBonus,TypeId,TypeName,InflictKind,InflictChance,bUseInflictInSlice,UePhase,bEnabledInSlice
basic,普通攻击,0.9,95,0,0,0,normal,,0,False,1,True
ember,火花,1.4,90,0,0,1,fire,burn,30,False,1,True
aqua,水枪,1.4,90,0,1,2,water,,0,False,1,True
vine,藤鞭,1.4,90,0,1,3,grass,,0,False,1,True
heavy,重击,1.6,80,5,0,0,normal,,0,False,1,False
powerstrike,强袭,1.7,85,8,0,0,normal,,0,False,1,False
e_ground,地震,1,90,0,0,11,ground,,0,False,2,False
e_bug,虫咬,1,90,0,0,12,bug,,0,False,2,False
gust,起风,1,90,0,1,6,flying,,0,False,2,False
e_water,喷水,1,90,0,1,2,water,,0,False,1,False
e_grass,缠绕,1,90,0,1,3,grass,,0,False,1,False
rockthrow,落石,1,85,0,1,8,rock,,0,False,2,False
shadow,暗影球,1.4,88,5,1,5,ghost,,0,False,2,False
e_ghost,惊吓,1,88,0,1,5,ghost,,0,False,2,False
e_ice,冰冻光束,1,90,0,1,13,ice,,0,False,2,False
e_fairy,魔法闪耀,1,90,0,1,16,fairy,,0,False,2,False
e_dragon,龙息,1,90,0,1,17,dragon,,0,False,2,False
chop,空手劈,1.05,88,5,0,7,fighting,,0,False,2,False
e_steel,金属爪,1,92,5,0,14,steel,,0,False,2,False
e_dark,咬碎,1.05,90,5,0,10,dark,,0,False,2,False
hydro,水炮,1.5,88,0,1,2,water,,0,False,1,False
leafblade,飞叶刃,1.5,90,12,1,3,grass,,0,False,1,False
irontail,铁尾,1.5,88,10,0,14,steel,,0,False,2,False
crunch,咬碎击,1.5,88,10,0,10,dark,,0,False,2,False
icebeam,极冰,1.45,90,5,1,13,ice,,0,False,2,False
dragonpulse,龙波,1.5,88,5,2,17,dragon,,0,False,2,False
dazzle,魔法闪光,1.45,92,5,1,16,fairy,,0,False,2,False
bugbuzz,虫鸣,1.45,90,5,1,12,bug,,0,False,2,False
airslash,气旋斩,1.5,88,10,1,6,flying,,0,False,2,False
nightshade,夜阴,1.5,88,15,1,5,ghost,,0,False,2,False
closecombat,近身战,1.7,90,10,0,7,fighting,,0,False,2,False
sweep,横扫,1.0,85,0,0,0,normal,,0,False,1,False
quake,地裂,1.2,85,0,0,11,ground,,0,False,1,False
rockslide,岩崩,1.2,82,0,1,8,rock,,0,False,1,False
cleave,横扫斩,1.25,85,0,0,0,normal,,0,False,1,False
